"x","y","dbh"
2.25,36.5,32.35
6.7,4.7,20.2
3.35,26.5,20.7
2.95,28.35,10.4
6.1,30.95,17.05
5,34.85,20.85
5.85,39.3,7.9
11.2,7.3,9.1
9.15,10.7,33.6
7.65,16.9,11.95
12.05,17.15,25.75
9.6,17.4,10.7
9,24.1,12.25
10.85,24.3,8.85
11.3,25.35,23.4
10.05,26.9,14
11.75,30.4,11.4
9.1,35.3,22.05
13.9,1.4,21.95
16,3.75,9.65
16.25,4.4,12.7
13.7,5.6,18.85
16.65,6,23.65
13.15,8.5,11.3
14.1,9.7,9.9
14.7,11.5,12.9
17.15,11.3,23.25
14.5,14.85,26
16.4,21.45,15.8
13.7,22.25,12
12.65,29.35,13.25
15.6,30.6,8.8
17.65,7,19.15
19.9,7.85,7.95
20.95,9.35,7.55
18.6,10.1,7.9
21.35,11.5,18.45
21.9,18.3,19.6
19.85,20.9,19.6
19.9,25.05,7.4
19.2,27.15,9.8
19.2,28.75,15.85
19.75,34.15,24.75
22.2,35.2,26.2
22.7,7.6,20.15
23.8,10.95,9.45
24.55,15.65,7.25
25.9,21.3,10.55
22.8,22.9,9.65
27.45,23.3,10
24.15,26.7,20.05
24.95,27.65,28.5
25.9,34.95,21.1
32.45,8,9
31.75,13.95,33.5
30.3,23.2,17.4
31.9,27.3,24.5
28.3,29.65,26.95
31.6,32,18.4
29.25,39.75,20.4
34.4,0.9,10.45
36.15,4.8,22.3
36,8.3,24.1
32.75,12.25,22.6
34.1,12.55,15.5
36.2,12.4,10.45
35.55,13.45,13.7
35.95,18.2,11.1
32.75,19.05,18.55
36.7,25.55,17.3
32.65,28.85,23.25
35,38.35,7.1
39.55,2.65,22.8
38.95,18.55,8.3
